Date,Time, OPEN , HIGH , LOW , CLOSE ,Ask Volume,Bid Volume, TrueHigh , TrueLow ,OrderBookBias(1 period)
02/10/2025,12:42:44 PM," 3,867.30 "," 3,867.50 "," 3,866.50 "," 3,867.10 ",18,20," 3,867.30 "," 3,866.50 ",-2.7
02/10/2025,12:41:55 PM," 3,867.30 "," 3,867.60 "," 3,866.70 "," 3,867.40 ",46,33," 3,867.50 "," 3,866.70 ",-5.1
02/10/2025,12:41:10 PM," 3,867.80 "," 3,867.80 "," 3,867.10 "," 3,867.40 ",30,23," 3,867.80 "," 3,867.10 ",-6.6
02/10/2025,12:40:09 PM," 3,867.20 "," 3,868.10 "," 3,867.00 "," 3,867.60 ",40,16," 3,868.10 "," 3,867.20 ",-0.5
02/10/2025,12:39:39 PM," 3,866.20 "," 3,867.30 "," 3,866.10 "," 3,867.10 ",27,15," 3,867.20 "," 3,866.10 ",-7.9
02/10/2025,12:39:25 PM," 3,867.00 "," 3,867.20 "," 3,866.30 "," 3,866.30 ",12,43," 3,867.20 "," 3,866.30 ",-12
02/10/2025,12:39:01 PM," 3,868.10 "," 3,868.30 "," 3,867.10 "," 3,867.20 ",28,44," 3,868.10 "," 3,867.10 ",-16.5
02/10/2025,12:38:33 PM," 3,869.10 "," 3,869.20 "," 3,868.20 "," 3,868.20 ",19,35," 3,869.20 "," 3,868.20 ",-7.8
02/10/2025,12:38:14 PM," 3,868.10 "," 3,869.10 "," 3,867.80 "," 3,869.10 ",56,13," 3,869.10 "," 3,868.00 ",13.6
02/10/2025,12:37:39 PM," 3,867.90 "," 3,868.10 "," 3,867.00 "," 3,868.00 ",18,18," 3,868.00 "," 3,867.00 ",17.5
02/10/2025,12:37:11 PM," 3,868.60 "," 3,868.60 "," 3,867.80 "," 3,867.90 ",16,28," 3,868.60 "," 3,867.80 ",-2.5
02/10/2025,12:36:48 PM," 3,867.90 "," 3,868.50 "," 3,867.60 "," 3,868.50 ",25,20," 3,868.50 "," 3,867.60 ",13.6
